Id,Director,writer,actor,crew
1395,Henry Winkler,Eric Roth,Billy Crystal,98
1396,Claire Denis,Claire Denis,Isaach De Bankolé,127
1397,Michael Ritchie,Ken Kolb,Dan Aykroyd,103
1398,Thom Eberhardt,Gary Murphy,Michael Caine,129
1399,Andrew Fleming,Andrew Fleming,Jennifer Rubin,39
1400,Woody Allen,Woody Allen,Gena Rowlands,15
1401,Bernard Rose,Catherine Storr,Charlotte Burke,67
1402,Blake Edwards,Rod Amateau,Bruce Willis,110
1403,James B. Harris,James Ellroy,James Woods,139
1404,Paul Golding,Paul Golding,Cliff De Young,53
1405,Mike Figgis,Mike Figgis,Melanie Griffith,61
1406,Matthew Chapman,Matthew Chapman,Jennifer Jason Leigh,19
1407,Ted Kotcheff,Ben Hecht,Kathleen Turner,43
1408,Gary Sinise,Chris Gerolmo,Richard Gere,119
1409,Glenn Gordon Caron,Tod Carroll,Michael Keaton,35
1410,Joan Micklin Silver,Susan Sandler,Amy Irving,101
1411,David Mamet,David Mamet,Don Ameche,61
1412,David Stevens,Spencer Eastman,Matt Dillon,58
